arquivo;timestamp;regra;evidencia;confianca
DOC_0002.txt;2026-04-22 00:45:17;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0002.txt;2026-04-22 00:45:17;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0003.txt;2026-04-22 00:45:19;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0004.txt;2026-04-22 00:45:22;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0006.txt;2026-04-22 00:45:27;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0007.txt;2026-04-22 00:45:29;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0009.txt;2026-04-22 00:45:34;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0011.txt;2026-04-22 00:45:39;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0012.txt;2026-04-22 00:45:42;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0013.txt;2026-04-22 00:45:44;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0014.txt;2026-04-22 00:45:47;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0015.txt;2026-04-22 00:45:49;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0016.txt;2026-04-22 00:45:52;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0017.txt;2026-04-22 00:45:54;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0018.txt;2026-04-22 00:45:56;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0019.txt;2026-04-22 00:46:04;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0021.txt;2026-04-22 00:46:09;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0022.txt;2026-04-22 00:46:16;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0022.txt;2026-04-22 00:46:16;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0023.txt;2026-04-22 00:46:19;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0024.txt;2026-04-22 00:46:21;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0025.txt;2026-04-22 00:46:29;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0026.txt;2026-04-22 00:46:31;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0027.txt;2026-04-22 00:46:39;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0028.txt;2026-04-22 00:46:41;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0029.txt;2026-04-22 00:46:48;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0030.txt;2026-04-22 00:46:51;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0031.txt;2026-04-22 00:46:53;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0032.txt;2026-04-22 00:47:01;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0033.txt;2026-04-22 00:47:03;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0034.txt;2026-04-22 00:47:11;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0035.txt;2026-04-22 00:47:13;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0036.txt;2026-04-22 00:47:15;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0036.txt;2026-04-22 00:47:15;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0037.txt;2026-04-22 00:47:23;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0038.txt;2026-04-22 00:47:26;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0039.txt;2026-04-22 00:47:33;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0040.txt;2026-04-22 00:47:35;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0041.txt;2026-04-22 00:47:43;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0042.txt;2026-04-22 00:47:46;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0043.txt;2026-04-22 00:47:48;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0044.txt;2026-04-22 00:47:55;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0045.txt;2026-04-22 00:47:58;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0046.txt;2026-04-22 00:48:00;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0047.txt;2026-04-22 00:48:08;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0048.txt;2026-04-22 00:48:10;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0049.txt;2026-04-22 00:48:18;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0050.txt;2026-04-22 00:48:20;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0051.txt;2026-04-22 00:48:23;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0052.txt;2026-04-22 00:48:30;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0052.txt;2026-04-22 00:48:30;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0053.txt;2026-04-22 00:48:33;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0054.txt;2026-04-22 00:48:40;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0055.txt;2026-04-22 00:48:43;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0057.txt;2026-04-22 00:48:53;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0058.txt;2026-04-22 00:48:55;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0059.txt;2026-04-22 00:48:58;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0060.txt;2026-04-22 00:49:05;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0061.txt;2026-04-22 00:49:08;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0062.txt;2026-04-22 00:49:15;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0063.txt;2026-04-22 00:49:17;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0064.txt;2026-04-22 00:49:25;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0066.txt;2026-04-22 00:49:30;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0066.txt;2026-04-22 00:49:30;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0067.txt;2026-04-22 00:49:37;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0068.txt;2026-04-22 00:49:40;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0069.txt;2026-04-22 00:49:47;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0072.txt;2026-04-22 00:49:59;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0072.txt;2026-04-22 00:49:59;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0073.txt;2026-04-22 00:50:02;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0073.txt;2026-04-22 00:50:02;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0074.txt;2026-04-22 00:50:10;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0075.txt;2026-04-22 00:50:12;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0076.txt;2026-04-22 00:50:14;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0077.txt;2026-04-22 00:50:22;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0079.txt;2026-04-22 00:50:32;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0080.txt;2026-04-22 00:50:34;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0080.txt;2026-04-22 00:50:34;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0081.txt;2026-04-22 00:50:36;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0082.txt;2026-04-22 00:50:44;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0083.txt;2026-04-22 00:50:46;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0084.txt;2026-04-22 00:50:54;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0085.txt;2026-04-22 00:50:56;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0086.txt;2026-04-22 00:50:59;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0087.txt;2026-04-22 00:51:06;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0088.txt;2026-04-22 00:51:09;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0089.txt;2026-04-22 00:51:11;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0090.txt;2026-04-22 00:51:19;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0091.txt;2026-04-22 00:51:21;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0093.txt;2026-04-22 00:51:31;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0094.txt;2026-04-22 00:51:39;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0095.txt;2026-04-22 00:51:41;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0096.txt;2026-04-22 00:51:44;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0097.txt;2026-04-22 00:51:51;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0098.txt;2026-04-22 00:51:53;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0099.txt;2026-04-22 00:51:56;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0101.txt;2026-04-22 00:52:06;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0103.txt;2026-04-22 00:52:16;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0105.txt;2026-04-22 00:52:26;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0106.txt;2026-04-22 00:52:28;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0106.txt;2026-04-22 00:52:28;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0108.txt;2026-04-22 00:52:38;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0109.txt;2026-04-22 00:52:41;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0110.txt;2026-04-22 00:52:48;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0113.txt;2026-04-22 00:53:01;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0115.txt;2026-04-22 00:53:11;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0115.txt;2026-04-22 00:53:11;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0116.txt;2026-04-22 00:53:13;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0116.txt;2026-04-22 00:53:13;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0118.txt;2026-04-22 00:53:23;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0118.txt;2026-04-22 00:53:23;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0119.txt;2026-04-22 00:53:25;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0120.txt;2026-04-22 00:53:33;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0121.txt;2026-04-22 00:53:35;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0122.txt;2026-04-22 00:53:38;Aprovador não reconhecido;None;Médio
DOC_0123.txt;2026-04-22 00:53:45;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0124.txt;2026-04-22 00:53:48;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0125.txt;2026-04-22 00:53:55;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0126.txt;2026-04-22 00:53:58;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0127.txt;2026-04-22 00:54:00;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0128.txt;2026-04-22 00:54:07;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0128.txt;2026-04-22 00:54:07;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0129.txt;2026-04-22 00:54:10;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0130.txt;2026-04-22 00:54:17;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0131.txt;2026-04-22 00:54:20;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0132.txt;2026-04-22 00:54:22;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0133.txt;2026-04-22 00:54:30;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0135.txt;2026-04-22 00:54:34;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0136.txt;2026-04-22 00:54:42;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0137.txt;2026-04-22 00:54:44;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0137.txt;2026-04-22 00:54:44;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0138.txt;2026-04-22 00:54:52;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0138.txt;2026-04-22 00:54:52;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0139.txt;2026-04-22 00:54:54;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0140.txt;2026-04-22 00:55:02;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0140.txt;2026-04-22 00:55:02;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0141.txt;2026-04-22 00:55:04;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0142.txt;2026-04-22 00:55:07;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0142.txt;2026-04-22 00:55:07;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0143.txt;2026-04-22 00:55:14;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0144.txt;2026-04-22 00:55:17;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0146.txt;2026-04-22 00:55:27;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0146.txt;2026-04-22 00:55:27;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0147.txt;2026-04-22 00:55:29;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0147.txt;2026-04-22 00:55:29;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0148.txt;2026-04-22 00:55:36;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0149.txt;2026-04-22 00:55:39;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0151.txt;2026-04-22 00:55:49;NF duplicada;NF-55555;Alto
DOC_0151.txt;2026-04-22 00:55:49;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0152.txt;2026-04-22 00:55:51;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0153.txt;2026-04-22 00:55:59;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0154.txt;2026-04-22 00:56:01;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0155.txt;2026-04-22 00:56:03;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0156.txt;2026-04-22 00:56:11;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0157.txt;2026-04-22 00:56:13;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0158.txt;2026-04-22 00:56:16;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0159.txt;2026-04-22 00:56:23;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0160.txt;2026-04-22 00:56:31;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0160.txt;2026-04-22 00:56:31;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0161.txt;2026-04-22 00:56:33;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0162.txt;2026-04-22 00:56:35;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0163.txt;2026-04-22 00:56:43;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0164.txt;2026-04-22 00:56:45;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0166.txt;2026-04-22 00:56:55;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0167.txt;2026-04-22 00:56:57;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0169.txt;2026-04-22 00:57:07;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0170.txt;2026-04-22 00:57:10;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0171.txt;2026-04-22 00:57:17;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0172.txt;2026-04-22 00:57:20;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0173.txt;2026-04-22 00:57:27;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0174.txt;2026-04-22 00:57:30;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0174.txt;2026-04-22 00:57:30;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0175.txt;2026-04-22 00:57:32;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0176.txt;2026-04-22 00:57:40;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0177.txt;2026-04-22 00:57:42;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0178.txt;2026-04-22 00:57:49;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0180.txt;2026-04-22 00:57:54;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0180.txt;2026-04-22 00:57:54;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0181.txt;2026-04-22 00:58:02;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0181.txt;2026-04-22 00:58:02;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0184.txt;2026-04-22 00:58:14;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0185.txt;2026-04-22 00:58:16;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0186.txt;2026-04-22 00:58:24;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0187.txt;2026-04-22 00:58:26;NF emitida após pagamento;E:20/06/2024 P:15/06/2024;Alto
DOC_0187.txt;2026-04-22 00:58:26;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0188.txt;2026-04-22 00:58:29;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0189.txt;2026-04-22 00:58:36;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0190.txt;2026-04-22 00:58:39;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0191.txt;2026-04-22 00:58:41;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0192.txt;2026-04-22 00:58:49;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0193.txt;2026-04-22 00:58:51;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0195.txt;2026-04-22 00:59:01;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0197.txt;2026-04-22 00:59:11;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0198.txt;2026-04-22 00:59:13;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0200.txt;2026-04-22 00:59:23;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0201.txt;2026-04-22 00:59:25;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0202.txt;2026-04-22 00:59:33;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0203.txt;2026-04-22 00:59:35;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0204.txt;2026-04-22 00:59:43;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0205.txt;2026-04-22 00:59:45;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0206.txt;2026-04-22 00:59:47;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0207.txt;2026-04-22 00:59:55;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0208.txt;2026-04-22 00:59:57;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0209.txt;2026-04-22 01:00:00;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0210.txt;2026-04-22 01:00:07;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0212.txt;2026-04-22 01:00:17;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0213.txt;2026-04-22 01:00:20;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0214.txt;2026-04-22 01:00:27;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0215.txt;2026-04-22 01:00:29;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0216.txt;2026-04-22 01:00:32;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0216.txt;2026-04-22 01:00:32;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0217.txt;2026-04-22 01:00:39;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0218.txt;2026-04-22 01:00:42;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0218.txt;2026-04-22 01:00:42;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0220.txt;2026-04-22 01:00:52;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0221.txt;2026-04-22 01:00:54;NF emitida após pagamento;E:16/01/2023 P:15/01/2023;Alto
DOC_0221.txt;2026-04-22 01:00:54;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0222.txt;2026-04-22 01:01:01;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0223.txt;2026-04-22 01:01:04;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0224.txt;2026-04-22 01:01:06;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0224.txt;2026-04-22 01:01:06;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0225.txt;2026-04-22 01:01:14;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0226.txt;2026-04-22 01:01:16;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0227.txt;2026-04-22 01:01:24;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0228.txt;2026-04-22 01:01:26;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0229.txt;2026-04-22 01:01:28;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0230.txt;2026-04-22 01:01:36;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0231.txt;2026-04-22 01:01:38;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0232.txt;2026-04-22 01:01:46;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0233.txt;2026-04-22 01:01:48;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0234.txt;2026-04-22 01:01:51;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0234.txt;2026-04-22 01:01:51;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0235.txt;2026-04-22 01:01:58;Aprovador não reconhecido;Carlos Mendes;Médio
DOC_0237.txt;2026-04-22 01:02:03;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0238.txt;2026-04-22 01:02:11;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0239.txt;2026-04-22 01:02:13;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0241.txt;2026-04-22 01:02:23;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0241.txt;2026-04-22 01:02:23;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0242.txt;2026-04-22 01:02:31;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0242.txt;2026-04-22 01:02:31;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0243.txt;2026-04-22 01:02:33;Aprovador não reconhecido;Fernanda Costa;Médio
DOC_0244.txt;2026-04-22 01:02:35;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0244.txt;2026-04-22 01:02:35;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0245.txt;2026-04-22 01:02:43;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0245.txt;2026-04-22 01:02:43;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0247.txt;2026-04-22 01:02:48;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0247.txt;2026-04-22 01:02:48;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0248.txt;2026-04-22 01:02:56;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0250.txt;2026-04-22 01:03:06;Aprovador não reconhecido;Roberto Lima;Médio
DOC_0250.txt;2026-04-22 01:03:06;STATUS inconsistente;Cancelado com data de pagamento;Médio
DOC_0251.txt;2026-04-22 01:03:08;Aprovador não reconhecido;Ana Beatriz;Médio
DOC_0252.txt;2026-04-22 01:03:10;Aprovador não reconhecido;Roberto Lima;Médio
